,zip_code,num_solar_panels,jul_jan_ghi_diff
0,01001,146.0,178.2002643958687
1,01002,397.0,177.23329530984722
2,01003,23.0,178.95362903225814
3,01005,10.0,177.65872152659875
4,01007,231.0,176.34225233074193
5,01008,1.0,178.1756761695907
6,01009,0.0,175.87553056027167
7,01010,15.0,178.21452909828335
8,01011,1.0,177.08503849509526
9,01012,1.0,174.90722976796832
10,01013,96.0,177.5890751744954
11,01020,135.0,177.13691599069358
12,01022,13.0,176.5788854697227
13,01026,4.0,177.16501839275608
14,01027,201.0,174.95907984094362
15,01028,185.0,176.90235480333902
16,01030,143.0,177.4459182229768
17,01031,2.0,180.16682836122567
18,01032,0.0,175.25228140916812
19,01033,111.0,177.07989058668173
20,01034,3.0,176.4393392756084
21,01035,136.0,177.50636672325982
22,01036,56.0,176.74646936255596
23,01037,1.0,177.95204007226505
24,01038,72.0,175.73259762309002
25,01039,34.0,173.70444382124668
26,01040,162.0,176.49190797333836
27,01050,2.0,175.59313723203792
28,01053,29.0,172.8184511177137
29,01054,43.0,178.1396080928127
30,01056,207.0,176.59440114215153
31,01057,116.0,177.86527748302206
32,01060,191.0,175.74801924165257
33,01062,129.0,173.76948924731178
34,01066,3.0,175.00015032541035
35,01068,5.0,177.2928531923651
36,01069,131.0,177.45814233163554
37,01070,0.0,177.29859047821168
38,01071,2.0,175.52098542727788
39,01072,8.0,177.84160653650255
40,01073,97.0,175.49221844934925
41,01075,106.0,177.20935908319186
42,01077,111.0,175.82839406985204
43,01080,14.0,176.6274052065648
44,01081,2.0,178.1599187260266
45,01082,20.0,177.02157295961678
46,01083,3.0,179.09120491845448
47,01084,2.0,174.78010045274476
48,01085,245.0,175.77470735412385
49,01088,16.0,174.0417668836069
50,01089,239.0,177.40563543435206
51,01092,0.0,178.43389219015273
52,01093,8.0,174.93363280513108
53,01094,0.0,179.6203664402943
54,01095,154.0,176.27445175438598
55,01096,9.0,174.96196514471666
56,01098,3.0,176.19912179642654
57,01103,16.0,178.18247736276174
58,01104,114.0,177.98813667232596
59,01105,47.0,178.18247736276174
60,01106,100.0,177.71337365591393
61,01107,39.0,178.26630588568202
62,01108,84.0,177.6653720996039
63,01109,137.0,177.68136318619128
64,01118,110.0,177.01300462176948
65,01119,86.0,176.12702497170343
66,01128,23.0,175.2303338992643
67,01129,76.0,175.4778402659875
68,01151,49.0,176.09747276457273
69,01201,1023.0,181.42988887173954
70,01220,4.0,180.180531975099
71,01222,3.0,178.71019029428413
72,01223,4.0,178.26606774339908
73,01224,0.0,179.55174731182794
74,01225,2.0,179.93690164591584
75,01226,8.0,180.13161824812926
76,01230,18.0,180.29994236659013
77,01235,8.0,178.480653498666
78,01236,3.0,180.77367713638932
79,01237,25.0,180.82809693413054
80,01238,10.0,180.61126529101915
81,01240,76.0,181.7039345063539
82,01242,0.0,181.01276881720435
83,01245,0.0,179.96768887945672
84,01247,25.0,178.7232663943124
85,01253,2.0,178.9563475220309
86,01254,6.0,181.73670062252404
87,01255,2.0,178.3055343331447
88,01256,1.0,179.48063318967388
89,01257,5.0,179.90555819101834
90,01258,0.0,181.9061262026033
91,01259,6.0,179.50359012450477
92,01260,0.0,180.88502758913415
93,01262,5.0,181.30340089134125
94,01264,0.0,180.053162139219
95,01266,16.0,181.54066449726463
96,01267,54.0,180.81483977079796
97,01270,0.0,178.7925128422794
98,01301,626.0,174.62693359743446
99,01330,2.0,175.8652839449741
100,01331,65.0,176.04094072546957
101,01337,5.0,174.413921901528
102,01338,0.0,175.55801971326167
103,01339,1.0,176.47209421402962
104,01340,2.0,174.9385703476785
105,01341,1.0,174.99663978494624
106,01342,90.0,175.2947156196944
107,01343,0.0,178.54492666478015
108,01344,30.0,176.49284627900397
109,01346,0.0,176.04550084889644
110,01349,38.0,177.1376910016978
111,01350,0.0,176.89760186757215
112,01351,112.0,177.155987935381
113,01354,56.0,175.78286329623336
114,01355,0.0,175.38025077815507
115,01360,17.0,175.7556842771064
116,01364,39.0,175.81304066618156
117,01366,0.0,176.81022595972456
118,01367,0.0,176.85936343650687
119,01368,3.0,175.0129052469884
120,01370,12.0,175.2121622099604
121,01373,62.0,175.84022354272778
122,01375,65.0,176.5895541525184
123,01376,201.0,175.99753820033953
124,01378,1.0,175.90363256932653
125,01379,1.0,177.66019088379545
126,01380,0.0,177.77330928126767
127,01420,291.0,175.06918827493956
128,01430,24.0,175.93486134691568
129,01431,56.0,175.00262386170704
130,01432,77.0,175.59672113752123
131,01434,38.0,175.535922467459
132,01436,15.0,175.53746934540652
133,01438,0.0,177.07905348047544
134,01440,127.0,176.38618999845656
135,01441,3.0,175.96006649688732
136,01450,36.0,174.910514693993
137,01451,103.0,176.05927065647992
138,01452,28.0,176.57153499929262
139,01453,385.0,174.9437488209772
140,01460,80.0,176.29374911573285
141,01462,106.0,174.27719121392192
142,01463,264.0,174.32219156762872
143,01464,60.0,174.41522088992645
144,01468,24.0,176.81994906621395
145,01469,80.0,174.1317597308684
146,01473,51.0,175.75572061875113
147,01474,42.0,174.3076365308433
148,01475,128.0,175.97212318430485
149,01501,191.0,176.21162280701753
150,01503,55.0,175.7038569766711
151,01504,208.0,176.38225099037913
152,01505,19.0,175.10205326825127
153,01506,18.0,177.86268707162168
154,01507,179.0,175.76012706918507
155,01510,100.0,174.81295981890207
156,01515,23.0,177.3800479020131
157,01516,110.0,175.75187211981566
158,01518,24.0,177.13690813054137
159,01519,63.0,174.91330055649877
160,01520,62.0,176.80375700982665
161,01521,4.0,177.90973008237444
162,01522,15.0,176.18048088410995
163,01523,74.0,175.40276009243536
164,01524,101.0,176.4704497579073
165,01527,172.0,175.21345422247379
166,01529,94.0,176.58219262874934
167,01531,10.0,179.23724297302397
168,01532,167.0,175.85955715902656
169,01534,61.0,175.52421881316195
170,01535,37.0,178.83211107967048
171,01536,66.0,174.7229532163743
